"HolderAddress","Balance","PendingBalanceUpdate"
"0xc1ca38a620802f69f44dc34376f1ca0cf3542c19","132008.081976228","No"
"0xa6ff47b8d663c466c6292e144acae497cfd21cea","12491.198978128","No"
"0x14cb39d8a80057d01a2ca2b84b44ee1c3d1dd1da","103900.426250231","No"
"0x0574c5069c59ee99ae19ef397e7c97f72b856fcc","6893590036.60973","No"
"0xd14bca5897f97318332aebee2fc1337d6dcb4c59","421153.424017444","No"
"0x842ffc6aa3b09120c838ec6c9db6fb42ca0d790e","1747097781.62033","No"
"0x9eba04d575a7a674970150f292e777648b92909c","250994.614471349","No"
"0x32b555ee4bb9c576d25c4603ad181c3f4dcaf83b","983740255.511635","No"
"0x4bf15d433f2ba2e05c5bae95e1c1cdb71b236847","3E-09","No"
"0xf55edab129e27d017589dc70b284657cba1649e1","2340.873199587","No"
"0xaff7368256e746674284c41a4512f2b336bd739e","458.192830489","No"
"0xc491e4b407adc6969c8fb92a7e53f38b0d3b6883","213579.186094343","No"
"0xc7926f4a786254d622680411e563598f5f77a20e","8376932637.96015","No"
"0xc05d46be383c40d030f304e96f4e4012041cedf2","11555.410643165","No"
"0xfcc4f10fe2ee2ba2b450f50ffeab0fd7fc3472ba","198424.67331998","No"
"0xcfae29f9d5251eb2bbf9ab68f66671c62a95dc75","13.600443796","No"
"0x480a1cb02586ebcc3e3e46c11f8a33dfe78eebc8","190672.85576841","No"
"0xfb0171ab054b7d6b56125800a811f38afb3a102d","3480856.02799093","No"
"0x43589af31c8481058a93c0a91d3f8ce60c909705","0.002907886","No"
"0xd9549572fb116790aad0dc043c909cd9a5c2db03","141784.857036522","No"
"0xb4916495a2bda6c16e04a27022869dbd6209a0ad","5572.161277339","No"
"0x09fedaefcb3acd26ab170abdb05877fd3c2905f3","192498.364012569","No"
"0x8e480fb76b1753bc376932b4efd6e2fa70bcacf7","2000004701.63423","No"
"0x39543a41b103c84c284d6924d66ae80211b61212","105273.073021997","No"
"0x46d710c92b66f4b4ea76a73bb0bdfb5520cc0c65","6827438291.02345","No"
"0x046a042277c477b98ff8e29c58b0310021895486","114670.049703789","No"
"0x8af685a23d057935bf644fd368ad83df1e91ab93","111244.342235516","No"
"0xa46fc0f762553447383862c85fef501c21d46e50","212209.019943135","No"
"0xb104371d5a2680fb0d47ea9a3aa2348392454186","169575.349735851","No"
"0x81576ad04680685056536b4004b94ad40c460fcd","105193515.800334","No"
"0x953ce034a5904fdcd94fef05d4972bb9d56f64f9","66464.402769583","No"
"0x133e915922c6921119bfd918d37aa80fa6af8b0b","678351.470949037","No"
"0xfd9ea01507d1dc8f41be5d4c75ea387e59d5e52e","22023860133.6748","No"
"0x57575b847b69f0338b247724a259131fd9d05721","132492.036661712","No"
"0x584baacb289add92ea3a1fbe11917c52b2b94ff3","12807498615.4967","No"
"0xdd7eecf9539a293a2c140041ae30c61858bbc1de","3696902.08608588","No"
"0x1eb198a57ba70d20fcf960420a4058b0eb37efc3","685986.395977034","No"
"0x5d7425780f475bf22e93dc32fa9b7177b1e10621","103190.696699017","No"
"0x89cc2c1a4554f691323582603da815ae4ce6de8d","3.003946578","No"
"0x319c912d889995d58b2f528b11232898d40206cc","37113.090998909","No"
"0xeea9bf6143661d5d0a6acdecbe93a12e10bd42cd","668757.536840439","No"
"0xc90a4fa24f70c073e16d7e519eff2534558a8a96","206466.647895547","No"
"0xb292ff6e9c6838bef4088081148b7dfddf9bf54c","51126.665462266","No"
"0x5868c58185617d43665aeb1d15c4764e15d3d0cc","46615568.8918421","No"
"0x2883142b2ba84ae5264792b978262e0d7953e3b9","55699.305991203","No"
"0xfd49b8d3145054b7aff1a4712e3f106aad62ae17","1894254.05323801","No"
"0x4e2f8a4bc6683cbda99d27adc350367d21efe57b","582609.312179104","No"
"0x937025528556dc382631368a911616d748f49ead","131968.160732138","No"
"0xaf88dea2fc82c50eb7cd19e46e94161788dce93e","42824690111.2304","No"
"0xf955a91315160cee405c95b2d0cee8cf93d21932","1339178587.4415","No"
"0xeea9c4a0763808bc8016b3f32b177d48f649e448","214106.925373456","No"
"0x08bca58ec22e1381ba006e539826b603ad9553ff","7442.762868913","No"
"0x58ea4ae9a8a81286b61b6dadbc04297b87c8412d","4056.354240274","No"
"0xc36564d85d88ba5d9524b4907006390a502b243a","26918.930952602","No"
"0xed3819c09f950257358bea17ee5e8659a6fd7fa6","19228453535.8011","No"
"0x459e0e3031a9502eb8fd22cb64fd7918f6b53a73","5333035918.02954","No"
"0x1aa03b3c91ec712939f0308de045c8cb0bd8b4e5","290583173077.632","No"
"0xdaf0927935359450c35165f78bdac85a8b386c19","2619.989409168","No"
"0x21099b557c3c835ec1ec52630fd538be925a0497","55.642062576","No"
"0xe393d8dce7694765617651edc9bb85709666f2dd","153677.628032953","No"
"0x45c296724efdd3cf77500ef78fa1062b38ba1328","126221.315788907","No"
"0xc0c3125e6c69e0eae82ddd8a502785754bfa6b34","207290.959276281","No"
"0xe622dc4deb24b590d3e59e36d2fed4d0cf1ea5e2","8.202549763","No"
"0x4ee751f1ce938cf88581889756f4dcc7a25770b8","1E-09","No"
"0xf1c0e42f3880afc1b8b34a381e737617ead6df91","598322.112112689","No"
"0x193a9a108b66bd5b03778faaf3d5229ef3754bb2","9624.862116792","No"
"0x3ba9ca609fe906e77fd3507e89539a01b62a3dcb","268076.619335474","No"
"0x84c7652281c7f563a1659e0e87dd28b2f08cafd9","8706761592.28684","No"
"0xdebe9c5f15dcc3c268755651c998693ce9e05147","1429707.03618233","No"
"0xbca04356db73101c54114d40aea9d59461e99303","19416.739957218","No"
"0x14d2777b7603a4e14b47e9a894dc73028ce69c65","128507.237166978","No"
"0x6a8820aab71bbf12aff35956dec7d14ee895ec6c","29877477559.7309","No"
"0xb29e15eb793435d70924d2393fd9470201fed509","20230.404118086","No"
"0xab8fda3b493e435e726c8b49e5483f8fff033ae1","0.0072687","No"
"0xaf5b7247cf512e4224fb574bf508377052a63386","40360.602009005","No"
"0x888277f5eff9495adfd3dbdd7ec3016199a6b6fa","260.177591424","No"
"0xe7a95f4c210ca4bc2619cdcc5e77eb31e72a59e6","116375.47681423","No"
"0x01bd423c8355f60bc9d69bb63fbc1825f1872d5d","0.032335202","No"
"0x9e71fc2102615f7a1ff40f72bb919983fc9c6195","78483.954700666","No"
"0x3a65c79478dce018e858a4b966bcc01d916b54ab","1282311801.37521","No"
"0xccfcf47f0d5ed437f4d1c955629e0c0dc1067c3c","3345458.88945817","No"
"0xc948d2535eef458c2647991fce9e9234ec0c29ac","11500761025.7796","No"
"0x3ccbc324fbebad3c47f0070b6345837974db6cb0","180396.344508406","No"
